word,tasa_freq
adolf,2
adopt,5
adopted,8
adopting,3
adoption,1
adorned,0
adrenal,0
ads,15
adult,30
adulthood,0
adults,13
advance,2
advanced,2
advancement,0
advances,0
advancing,1
advantage,6
advantageous,0
advantages,1
advent,0
adventure,37
adventurer,0
adventurers,0
adventures,16
adventurous,0
adverb,5
adverbs,3
adversary,0
adverse,0
advertise,0
advertised,1
advertisement,0
advertisements,0
advertisers,0
advertising,0
advice,26
advisable,0
advise,5
advised,3
adviser,0
advisers,1
advises,0
advising,0
advisor,0
advisors,0
advisory,0
advocate,0
advocated,0
advocates,0
aegean,0
aerial,0
aerin,0
aerobic,0
aeronautics,0
aesthetic,0
afar,2
affair,2
affairs,4
affect,14
affected,5
affecting,0
affection,4
affectionate,0
affectionately,1
affective,0
affects,2
affiliation,0
affirm,0
affirmative,0
afflicted,0
affluence,0
affluent,0
afford,18
afforded,0
affords,0
afghanistan,0
afloat,3
afraid,813
africa,48
africa's,0
african,6
africans,5
aft,0
after,3176
afternoon,429
afternoons,8
afterward,21
afterwards,14
again,3040
against,621
agamemnon,0
agatha,0
agba,7
age,182
age-old,0
aged,2
agencies,0
agency,8
agenda,0
agent,25
agents,7
ages,20
aggregate,0
aggression,0
aggressive,0
aggressively,0
agile,0
aging,1
agitated,1
agitation,0
agnes,13
ago,698
agonizing,1
agony,5
agrarian,0
agree,53
agreeable,0
agreed,175
agreeing,0
agreement,5
agreements,0
agrees,0
agricultural,0
agriculture,1
ah,110
aha,13
ahead,339
aid,24
aide,2
aided,0
aides,0
aiding,0
aids,0
ailment,0
ailments,0
aim,15
aimed,15
aiming,3
aimlessly,1
aims,2
ain't,107
air,1245
air-conditioned,1
airborne,0
aircraft,1
aires,0
airfield,1
airline,4
airlines,1
airplane,182
airplanes,47
airport,46
airports,0
airship,0
airtight,0
airways,0
airy,2
aisle,20
aisles,2
ajar,3
akin,0
al,356
al's,33
alabama,7
aladdin,9
alamo,1
alan,121
alarm,48
alarmed,4
alarming,0
alarms,1
alas,3
alaska,33
alaskan,1
albany,2
albert,119
alberta,2
album,1
albums,2
alcohol,3
alcoholic,0
alcoholics,0
alcoholism,0
aldrin,0
ale,3
alec,30
alec's,1
alert,8
alerted,0
alertness,0
alex,111
alexander,18
alexander's,1
alexandra,7
alexandria,0
alf,40
alfalfa,2
alfred,28
algae,4
algebra,1
algeria,0
ali,31
alice,91
alice's,10
alien,2
alienated,0
alienation,0
aliens,1
alight,1
aligned,0
alignment,0
alike,155
alison,27
alive,175
alkali,0
alkaline,0
all,11684
all-important,0
all-powerful,0
allah,0
allan,4
alleged,0
allegheny,0
allegiance,1
allen,49
allergic,0
allergies,0
allergy,0
alley,42
alleys,1
alliance,0
alliances,0
allied,0
allies,1
alligator,60
alligators,6
allison,15
allocated,0
allocation,0
allotted,0
allow,23
allowance,6
allowances,0
allowed,78
allowing,4
allows,2
alloy,0
alloys,0
ally,0
alma,31
almanac,2
almanzo,7
almighty,0
almost,907
aloft,2
alone,653
along,1248
alongside,14
aloof,0
aloud,44
alpha,2
alphabet,25
alphabetical,2
alphabetically,0
alpine,0
alps,0
already,464
also,1175
altar,2
alter,0
alteration,0
alterations,0
altered,1
altering,0
alternate,0
alternately,0
alternating,0
alternative,0
alternatives,0
alters,0
although,67
altitude,1
altitudes,0
altogether,8
aluminium,0
aluminum,9
alva,5
alvin,38
always,1760
am,2054
amanda,44
amateur,5
amateurs,0
amazed,30
amazement,12
amazing,18
amazingly,0
amazon,8
ambassador,0
ambassadors,0
amber,1
ambiguity,0
ambiguous,0
ambition,1
ambitions,0
ambitious,0
ambrose,1
ambulance,26
ambush,1
amelia,125
amended,0
amendment,0
amendments,0
america,164
america's,2
american,113
americans,51
americas,3
ames,1
amiable,0
amid,0
amidst,0
amino,0
amish,0
ammonia,1
ammonium,0
ammunition,0
among,155
amongst,0
amos,24
amount,56
amounted,0
amounts,10
amphibians,0
ample,0
amplified,0
amplitude,0
amsterdam,4
amundsen,4
amuse,1
amused,6
amusement,2
amusing,2
amy,125
amy's,24
an,3957
an',29
ana,83
analogous,0
analogy,0
analyses,0
analysis,0
analyst,0
analysts,0
analytical,0
analyze,0
analyzed,0
analyzing,0
ananse,33
anansi,50
anatomical,0
anatomy,1
ancestor,0
ancestors,4
ancestral,0
ancestry,0
anchor,12
anchorage,1
anchored,1
ancient,26
ancients,0
and,61867
29314,NA
anderson,12
andes,1
andre,23
andrea,26
andrew,133
andrews,5
andromeda,0
andy,227
andy's,18
anemia,0
anemones,0
anew,0
angel,27
angela,24
angels,1
anger,55
angered,3
angie,16
angle,10
angles,1
anglo-saxon,0
anglo-saxons,0
angrily,51
angry,360
anguish,0
angular,0
angus,5
animal,532
animal's,6
animals,1183
animals',0
animated,0
anita,20
ankle,13
ankles,10
ann,326
ann's,6
anna,162
anna's,6
annabelle,14
anne,45
anne's,4
annie,165
annie's,21
annika,8
anniversary,3
announce,5
announced,34
announcement,3
announcements,0
announcer,5
announces,0
announcing,2
annoy,2
annoyance,1
annoyed,16
annoying,1
annual,3
annually,0
anode,0
anonymous,0
another,1912
another's,1
anpao,1
answer,574
answered,742
answering,20
answers,102
ant,154
antagonism,0
antarctic,0
antarctica,4
antecedent,0
antelope,2
antenna,0
antennae,4
anterior,0
anthem,0
anthony,18
anthropologist,0
anthropologists,0
anthropology,0
antibiotics,0
antibodies,0
anticipate,0
anticipated,0
anticipating,0
anticipation,1
antics,0
antique,2
antiques,2
antiquity,0
antiseptic,0
antislavery,0
antitrust,0
antlers,6
antoine,0
anton,0
antonio,15
antony,1
ants,107
anvil,3
anxieties,0
anxiety,4
anxious,18
anxiously,14
any,1937
anybody,144
anybody's,5
anyhow,35
anymore,165
anyone,445
anyone's,2
anything,1302
anytime,4
anyway,329
anywhere,114
aorta,0
apache,3
apaches,1
apart,110
apartment,269
apartments,16
apathy,0
ape,32
apes,1
apex,0
aphids,2
apiece,4
apollo,6
apologetically,0
apologize,7
apologized,6
apology,2
appalachian,0
appalachians,0
appalled,1
appalling,0
apparatus,0
apparel,0
apparent,1
apparently,6
appeal,1
appealed,0
appealing,0
appeals,0
appear,37
appearance,5
appearances,0
appeared,110
appearing,3
appears,13
appendix,0
appetite,2
appetites,0
applauded,1
applause,2
apple,196
applegate,2
apples,133
applesauce,2
appliance,0
appliances,0
applicable,0
applicant,0
applicants,0
application,5
applications,0
applied,1
applies,0
apply,3
applying,1
appoint,0
appointed,2
appointment,5
appointments,0
appraisal,0
appreciable,0
appreciate,10
appreciated,1
appreciation,0
apprehension,1
apprehensive,0
apprentice,2
apprentices,1
apprenticeship,0
approach,4
approached,20
approaches,0
approaching,9
appropriate,0
appropriated,0
appropriately,0
approval,1
approve,4
approved,0
approves,0
approximate,0
approximately,0
april,38
apron,31
aprons,2
apt,1
aptitude,0
aptly,0
aquarium,18
aquatic,0
aqueduct,0
aqueducts,0
aqueous,0
arab,5
arabia,2
arabian,1
arabic,0
arabs,0
arbitrarily,0
arbitrary,0
arbitration,0
arc,2
arch,11
archaeologist,0
archaeologists,0
archbishop,0
arched,1
archeologists,0
archers,0
arches,0
archie,5
archimedes,0
arching,0
architect,2
architects,0
architectural,0
architecture,0
arctic,14
arden,16
ardent,0
arduous,0
are,12184
area,81
areas,23
aren't,242
arena,2
argentina,0
argon,0
argue,15
argued,16
argues,0
arguing,14
argument,13
arguments,2
arid,0
arise,0
arisen,0
arises,0
arising,0
aristocracy,0
aristocrat,0
aristocratic,0
aristotle,0
aristotle's,0
arithmetic,33
arizona,17
ark,4
arkady,3
arkansas,1
arm,530
arm's,6
armada,0
armand,4
armchair,6
armed,4
armful,1
armies,5
armor,7
armored,0
armour,0
arms,426
armstrong,9
army,76
arnold,36
aroma,0
arose,3
around,3683
arousal,0
arouse,0
aroused,0
arousing,1
arrange,8
arranged,12
arrangement,3
arrangements,2
arranging,0
array,0
arrest,8
arrested,12
arrests,0
arrietty,4
arrival,3
arrivals,0
arrive,27
arrived,115
arrives,2
arriving,7
arrogance,0
arrogant,0
arrow,59
arrowheads,0
arrows,28
arsenal,0
arsenic,0
art,104
arteries,0
artery,0
arthritis,0
arthur,167
arthur's,6
article,14
articles,4
articulate,0
articulation,0
artifacts,0
artificial,6
artificially,0
artillery,1
artisans,0
artist,34
artistic,0
artists,6
arts,3
as,10205
asa,1
asbestos,0
ascended,0
ascending,0
ascent,0
ascertain,0
ash,12
ashamed,36
ashes,26
ashley,4
ashore,12
asia,12
asian,0
asians,0
asiatic,0
aside,49
ask,914
asked,5461
asking,125
asks,156
asleep,282
aspect,0
aspects,0
aspen,0
asphalt,1
aspirations,0
aspirin,0
ass,2
assassinated,0
assassination,0
assault,0
assaults,0
assemble,0
assembled,0
assemblies,1
assembling,0
assembly,14
assent,0
assert,0
asserted,0
asserting,0
assertion,0
assertive,0
assess,0
assessed,0
assessing,0
assessment,0
asset,0
assets,0
assign,0
assigned,1
assigning,0
assignment,7
assignments,2
assimilated,0
assist,0
assistance,1
assistant,11
assistants,2
assisted,0
assisting,0
assists,0
associate,0
associated,0
associates,0
association,1
associations,0
assorted,0
assortment,0
assume,1
assumed,0
assumes,0
assuming,0
assumption,0
assumptions,0
assurance,0
assure,0
assured,4
assures,0
assuring,0
asteroid,0
asteroids,1
asthma,2
astonished,6
astonishing,0
astonishment,7
astounded,1
astounding,0
astride,1
astronaut,16
astronauts,18
astronomer,2
astronomers,1
astronomical,0
astronomy,2
asylum,0
at,16216
ate,514
athena,3
athene,1
athenian,0
athenians,0
athens,5
atherosclerosis,0
athlete,7
athletes,2
athletic,2
athletics,0
atlanta,6
atlantic,26
atlas,2
atmosphere,5
atmospheric,0
atom,0
atomic,5
atoms,2
atop,2
atrium,0
attach,2
attached,26
attaches,0
attaching,0
attachment,0
attachments,0
attack,40
attacked,10
attacking,2
attacks,3
attain,0
attained,0
attaining,0
attempt,4
attempted,3
attempting,0
attempts,0
attend,8
attendance,0
attendant,6
attendants,2
attended,3
attending,0
attention,114
attentions,0
attentive,0
attentively,0
attic,40
atticus,2
attire,0
attitude,4
attitudes,0
attorney,0
attract,4
attracted,4
attracting,0
attraction,1
attractions,1
attractive,4
attractiveness,0
attracts,0
attribute,0
attributed,0
attributes,0
auction,5
audible,0
audience,32
audiences,0
audio,0
audit,0
auditorium,7
auditory,0
audubon,2
august,29
augustine,0
augustus,15
aunt,470
aunt's,2
auntie,5
aunts,12
auricle,0
austin,11
austine,21
australia,20
australian,1
austria,2
austria-hungary,0
austrian,1
authentic,0
author,12
author's,1
authoritarian,0
authoritative,0
authorities,2
authority,3
authorized,0
authors,3
auto,12
autobiography,0
autocratic,0
automated,0
automatic,2
automatically,3
automation,0
automobile,15
automobiles,7
automotive,0
autonomic,0
autonomous,0
autonomy,0
autos,0
autumn,15
auxiliary,0
avail,0
availability,0
available,2
avalanche,4
avenue,37
avenues,0
average,17
averaged,0
averages,0
averaging,0
aversion,0
avery,4
aviation,0
avoid,15
avoidance,0
avoided,2
avoiding,2
avoids,0
aw,39
await,1
awaited,0
awaiting,0
awake,125
awaken,3
awakened,24
awakening,1
award,1
awarded,0
awards,1
aware,22
awareness,0
away,3640
awe,5
awed,0
awesome,0
awful,169
awfully,34
awhile,33
awkward,8
awkwardly,4
awoke,31
ax,36
axe,11
axes,0
axis,10
axle,9
axles,0
axon,0
ay,4
aye,17
aztec,2
aztecs,0
b,61
baba,8
babe,33
babies,141
baboon,1
baboons,0
baby,712
baby's,21
baby-sitting,9
babylon,0
babylonia,0
babylonian,0
babylonians,0
babysitting,3
bachelor,0
bachelor's,0
back,5839
backbone,7
backbones,0
backed,52
background,7
backgrounds,1
backing,8
backpack,8
backs,27
backstage,1
backward,44
backwards,20
backyard,36
bacon,33
bacteria,4
bacterial,0
bacterium,0
bad,958
bade,2
badge,2
badger,36
badly,66
baffled,4
baffling,0
bag,546
baggage,10
baggy,3
baghdad,0
bags,142
bahamas,0
bail,1
bailey,20
bait,21
baja,1
bake,71
baked,38
baker,50
baker's,1
bakers,0
bakery,20
baking,22
balance,33
balanced,11
balances,0
balancing,3
balcony,6
bald,29
bale,1
baleen,0
bales,2
balkan,0
balkans,0
ball,1139
ballads,0
ballerina,1
ballet,12
balloon,176
balloons,38
ballot,0
ballots,0
balls,66
baltic,0
baltimore,3
bambi,9
bamboo,19
ban,0
banana,12
bananas,18
band,147
bandage,20
bandaged,5
bandages,7
banded,0
bandits,1
bands,25
bang,102
banged,34
banging,19
bangs,10
banished,0
banjo,17
bank,208
bank's,3
banked,1
banker,4
bankers,0
banking,3
bankrupt,0
bankruptcy,0
banks,41
banned,0
banner,3
banners,1
banquet,2
baptist,2
baptized,1
bar,101
barbara,63
barbarian,0
barbarians,0
barbed,0
barber,24
barbers,0
barbershop,1
barbiturates,0
barcelona,0
bard,2
bare,76
bared,2
barefoot,10
barely,36
bargain,17
bargaining,0
barge,13
barges,8
bark,150
barked,54
barker,3
barking,47
barks,5
barley,7
barn,210
barnacles,0
barnes,3
barney,44
barns,7
barnum,4
barnyard,14
barometer,0
baron,4
barons,0
barracks,1
barred,1
barrel,35
barrels,12
barren,3
barrier,1
barriers,0
barry,21
bars,47
barter,1
bartholomew,5
barton,7
basal,0
base,77
baseball,166
based,4
basement,39
bases,2
basic,18
basically,0
basics,0
basil,14
basin,5
basins,1
basis,1
basket,188
basketball,77
baskets,34
bass,4
bastard,0
bat,105
batch,1
bates,5
bath,81
bathe,5
bathed,3
bathing,24
bathroom,83
bathrooms,5
baths,14
bathtub,18
baton,2
bats,34
batted,0
batter,19
battered,5
batteries,9
battering,0
battery,7
batting,2
battle,34
battled,0
battlefield,3
battles,3
bauxite,0
bawled,6
bawling,4
baxter,21
bay,61
bays,0
be,11145
beach,246
beaches,23
beacon,0
bead,0
beaded,1
beads,19
beady,2
beak,22
beaks,3
beam,27
beamed,8
beaming,1
beams,17
bean,62
beans,147
bear,1387
bear's,37
beard,34
bearded,3
beards,0
bearer,0
bearing,4
bearings,4
bears,182
beast,51
beasts,16
beat,234
beaten,25
beater,5
beating,54
beatrice,30
beats,12
beauties,0
beautiful,517
beautifully,5
beauty,57
beaver,53
beavers,23
became,329
because,2015
becker,33
beckoned,2
becky,44
become,273
becomes,44
becoming,33
bed,1396
bedding,6
bedelia,108
bedford,3
bedouin,1
bedouins,0
bedrock,0
bedroom,129
bedrooms,4
beds,55
bedside,11
bedtime,24
bee,139
beebe,4
beech,1
beecher,1
beef,14
been,3128
beer,20
bees,134
beeswax,2
beet,1
beethoven,2
beetle,24
beetles,10
beets,11
beezus,28
before,2378
beforehand,0
beg,29
began,1733
beggar,5
beggars,0
begged,73
begging,9
begin,257
beginner,0
beginners,0
beginning,199
beginnings,2
begins,120
begun,35
behalf,0
behave,14
behaved,4
behaves,2
behaving,1
behavior,10
behavioral,0
behaviors,0
behaviour,0
beheld,0
behind,1076
behold,3
being,857
beings,10
belden,1
belgian,1
belgium,0
belief,4
beliefs,3
believe,513
believed,97
believers,0
believes,10
believing,7
belinda,63
bell,436
bell's,6
belle,3
bellevue,0
bellies,0
bellowed,12
bellowing,1
bellows,0
bells,45
belly,14
belong,108
belonged,61
belonging,3
belongings,4
belongs,58
beloved,1
below,388
belt,102
belts,12
ben,699
ben's,61
bench,114
benches,15
bend,86
bending,29
bends,9
beneath,58
benedict,1
beneficial,0
benefit,3
benefited,0
benefits,0
benevolent,0
bengal,0
benign,0
benjamin,28
benjy,7
bennett,0
benny,60
benson,38
bent,155
benton,18
bering,1
berkeley,2
berlin,1
bermuda,1
bernadette,0
bernard,2
berries,58
berry,5
bert,75
bertha,12
bertrand,4
beset,0
beside,399
besides,189
besieged,0
bess,26
bessie,12
best,1106
best-known,1
bestowed,0
bet,218
beta,0
beth,212
bethlehem,0
bethune,1
betray,0
betrayed,1
bets,10
betsy,169
betsy's,12
better,1414
betting,1
betty,140
between,537
beverage,0
beverages,0
beware,2
bewildered,5
bewildering,0
bewilderment,2
beyond,68
bias,0
biased,0
biases,0
bible,12
biblical,0
bibliography,0
biceps,0
bicycle,117
bicycles,44
bid,3
bidding,1
big,5137
bigelow,11
bigfoot,15
bigger,365
biggest,125
bike,319
bikes,52
bilateral,0
bilbo,4
bile,0
bill,822
bill's,36
billboards,0
billing,0
billings,0
billion,1
billions,4
billowing,1
bills,67
billy,295
billy's,12
bin,10
binary,0
bind,0
binder,0
binding,0
binds,0
binoculars,4
bins,3
biochemical,0
biofeedback,0
biographies,0
biography,1
biological,0
biologically,0
biologist,0
biologists,0
biology,1
biosphere,0
birch,7
birches,2
bird,825
bird's,21
birdie,8
birds,627
birds',3
birmingham,0
birth,19
birthday,437
birthdays,6
birthplace,0
births,0
biscuit,20
biscuits,22
bishop,1
bishops,0
bison,1
bit,399
bitch,2
bite,143
bites,32
biting,21
bits,90
bitsy,24
bitten,9
bitter,25
bitterly,9
bitterness,4
bizarre,0
black,863
black's,4
black-and-white,2
blackberries,6
blackberry,2
blackbird,10
blackbirds,9
blackboard,7
blackened,0
blackness,10
blacks,3
blacksmith,13
bladder,0
blade,22
blades,9
blair,8
blake,16
blame,39
blamed,6
blaming,0
blanche,1
bland,0
blank,17
blanket,136
blankets,36
blast,26
blasted,3
blasting,1
blasts,0
blaze,5
blazed,4
blazing,6
bleach,1
bleached,2
bleachers,1
bleak,1
bled,8
bleed,3
bleeding,28
blend,0
blended,0
blending,0
blends,0
bless,8
blessed,6
blessing,3
blessings,1
blew,277
blight,0
blind,90
blinded,3
blindfolded,1
blinding,3
blindly,4
blindness,1
blinds,1
blink,11
blinked,30
blinking,7
blistering,0
blisters,0
blitz,2
blizzard,13
blizzards,1
blob,2
block,211
blockade,0
blocked,12
blocking,5
blocks,120
blond,16
blonde,7
blood,172
bloodshed,0
bloodstream,0
bloody,14
bloom,15
bloomed,1
blooming,7
blossom,8
blossoms,17
blot,1
blotted,1
blouse,6
blow,220
blowing,114
blown,20
blows,42
blubber,2
blue,787
blue-collar,0
blue-eyed,1
blue-green,2
blueberries,2
blueberry,11
blueprint,0
blueprints,1
blues,5
bluff,4
bluffs,1
bluish,0
blunt,0
blur,7
blurred,4
blurted,9
blush,6
blushed,7
bo,5
boa,5
boar,4
board,233
boarded,4
boarding,6
boards,73
boast,5
boasted,7
boasting,1
boat,718
boating,0
boats,156
bob,438
bob's,11
bobbed,8
bobbin,3
bobbing,11
bobby,117
bobby's,11
bodies,103
bodily,0
body,601
body's,2
bog,5
bogs,0
boil,8
boiled,12
boiler,3
boiling,18
boils,1
boisterous,0
bold,13
bolder,0
boldly,4
bolivia,0
bologna,0
bolt,13
bolted,9
bolts,5
bomb,4
bombarded,0
bombardment,0
bombay,0
bombed,1
bomber,0
bombing,0
bombs,2
bond,1
bondage,0
bonded,0
bonding,0
bonds,0
bone,111
bones,208
bonfire,0
bonnet,7
bonnie,25
bonus,0
bony,6
boo,23
book,1267
book's,1
bookcase,9
bookkeeping,0
booklet,1
books,664
bookstore,1
boom,51
boomed,7
booming,5
boone,10
boost,1
boot,25
booth,25
booths,1
boots,141
border,12
bordered,0
bordering,0
borders,1
bore,6
bored,38
boredom,2
boring,17
boris,79
born,244
borne,0
borneo,8
borrow,34
borrowed,18
borrower,0
borrowers,0
borrowing,1
borrows,0
bosom,2
boss,186
bosses,0
bossy,7
boston,31
botanists,0
botany,0
both,814
bother,89
bothered,20
bothering,13
bothers,4
bottle,180
bottled,1
bottles,71
bottom,371
bottoms,6
bough,3
boughs,1
bought,181
boulder,6
boulders,2
boulevard,0
bounce,30
bounced,53
bounces,4
bouncing,27
bound,18
boundaries,1
boundary,3
bounded,8
bounding,3
boundless,0
bounds,3
bounty,0
bouquet,4
bourgeois,0
bout,4
bow,70
bowed,28
bowing,4
bowl,161
bowling,3
bowls,14
bows,13
box,1094
boxer,4
boxes,192
boxing,6
boy,2241
boy's,89
boycott,1
boyd,26
boyhood,0
boys,1300
boys',15
brace,14
braced,5
bracelet,5
bracelets,1
braces,10
bracket,1
brackets,0
brad,50
bradford,0
bradley,9
brady,3
brag,11
bragging,7
brahmin,24
braid,2
braided,2
braids,11
braille,9
brain,70
brains,23
brainstorming,1
brake,13
brakes,25
brambles,0
bran,6
branch,161
branched,0
branches,144
branching,0
brand,12
brand-new,5
branded,0
brands,0
brandy,1
brass,18
brave,187
bravely,5
bravery,3
braves,11
bravest,4
brazil,6
brazilian,0
breach,0
bread,327
breads,1
breadth,0
break,233
breakdown,0
breakers,0
breakfast,375
breaking,40
breaks,37
breakthrough,0
breakup,0
breast,11
breastbone,0
breasts,1
breath,257
breathe,106
breathed,22
breathes,6
breathing,73
breathless,5
breathlessly,3
breaths,7
bred,1
breech,0
breeches,1
breed,0
breeders,0
breeding,1
breeds,0
breeze,36
breezes,5
brenda,8
breton,15
brett,11
brewing,1
brewster,2
brian,56
bribery,0
brick,48
bricks,30
bride,5
bridge,127
bridges,14
bridle,6
brief,8
briefly,5
brigade,0
bright,401
bright-colored,3
brighten,4
brightened,4
brighter,22
brightest,4
brightly,33
brightness,4
brilliance,1
brilliant,6
brilliantly,0
brim,1
brine,1
bring,536
bringing,74
brings,68
brink,0
brisk,9
briskly,6
bristles,2
bristling,0
bristol,0
britain,1
britain's,0
british,42
britons,0
brittle,1
broad,39
broadcast,1
broadcasting,0
broadcasts,0
broadened,0
broader,1
broadest,0
broadly,3
broadway,2
broke,267
broken,249
broker,0
brokers,0
bronco,0
brontosaurus,2
bronx,2
bronze,2
brood,1
brooding,3
brook,47
brooklyn,9
brooks,25
broom,32
brooms,4
broth,0
brother,741
brother's,23
brother-in-law,1
brotherhood,0
brothers,180
brought,513
brow,5
brown,577
brown's,7
brownie,13
browning,0
brownish,1
browns,4
brownstone,7
brows,2
bruce,40
bruise,1
bruised,3
bruises,3
bruno,18
brush,152
brushed,70
brushes,36
brushing,18
brussels,0
brutal,0
brute,8
brutus,0
bryan,1
bryant,1
bubble,35
bubbled,2
bubbles,25
bubbling,6
buck,58
buck's,3
bucket,51
buckets,14
bucking,9
buckle,4
buckled,0
buckles,0
bucks,8
buckskin,5
buckwheat,0
bud,70
buddha,0
buddhism,0
buddhist,0
budding,0
buddy,23
budge,5
budget,0
budgets,0
buds,21
buenos,0
buff,0
buffalo,55
buffaloes,5
buffer,0
bug,142
buggies,1
buggy,32
bugle,11
bugs,111
build,237
builder,4
builders,2
building,390
buildings,164
builds,8
buildup,0
built,166
built-in,1
bulb,23
bulbs,12
bulgaria,0
bulge,1
bulged,2
bulging,6
bulk,1
bulky,2
bull,62
bull's,4
bulldozer,19
bulldozers,1
bullet,25
bulletin,17
bulletins,0
bullets,13
bullfinch,13
bullfrog,3
bulls,4
bully,9
bum,8
bumble,3
bump,122
bumped,48
bumper,5
bumping,14
bumps,96
bumpy,48
bun,1
bunch,72
bunched,0
bunches,4
bundle,40
bundled,1
bundles,20
bunk,15
bunker,0
bunks,1
bunny,24
buns,19
buoyant,0
burbank,1
burden,5
burdened,0
burdens,0
bureau,6
bureaucracies,0
bureaucracy,0
bureaucratic,0
bureaucrats,0
bureaus,0
burger,1
burglar,1
burglary,0
burial,0
buried,55
burke,2
burlap,2
burly,0
burma,0
burn,113
burned,116
burner,5
burning,111
burns,41
burnt,3
burr,1
burro,21
burrow,10
burrowing,0
burrows,3
burst,74
bursting,6
bursts,0
burton,11
bury,20
burying,1
bus,709
buses,37
bush,72
bushel,1
bushels,0
bushes,88
bushmen,0
bushy,17
busied,0
busiest,3
busily,5
business,170
businesses,2
businesslike,1
businessman,1
businessmen,1
bust,2
buster,24
bustle,0
bustling,4
busy,348
but,14996
butch,84
butcher,18
butler,2
butt,6
butter,102
buttered,3
butterflies,25
butterfly,47
button,102
buttoned,4
buttons,85
buy,495
buyer,2
buyers,1
buying,29
buys,11
buzz,20
buzzards,5
buzzed,7
buzzer,2
buzzing,17
by,4725
by-product,0
by-products,0
bypass,0
byrd,7
byron,5
byzantine,0
byzantines,0
c,23
cab,26
cabbage,13
cabbages,2
cabin,110
cabinet,5
cabinets,1
cabins,7
cable,6
cables,2
cabot,2
cacao,0
cactus,16
caddie,5
caesar,0
caesar's,0
cafe,8
cafes,0
cafeteria,14
cage,183
cages,27
cairo,0
cake,367
cakes,65
cal,13
calamity,0
calcium,0
calculate,0
calculated,0
calculating,0
calculation,0
calculations,0
calculator,0
calculators,0
caleb,55
calendar,11
calendars,0
calf,33
calhoun,0
california,111
california's,0
caliph,0
call,924
called,2942
caller,4
calling,158
callisto,0
calls,115
calm,63
calmed,3
calmly,22
calorie,0
calories,0
calves,5
calvin,32
cam,20
cambium,0
cambridge,1
came,4613
camel,52
camels,12
camera,105
cameras,20
camouflage,0
camp,230
campaign,0
campaigning,0
campaigns,0
campbell,2
camped,9
camper,0
campers,5
campfire,18
campfires,4
campgrounds,0
camping,30
camps,11
campsite,5
campus,1
can,10332
can't,2517
canaan,0
canada,42
canada's,0
canadian,2
canadians,0
canal,24
canals,1
canary,5
canaveral,0
cancel,1
canceled,0
cancelled,0
cancer,5
candidate,0
candidates,0
candies,1
candle,59
